,mjd,mag,magerr
0,51075.364188,18.981,0.012
1,51075.365021,17.588,0.007
2,51075.365855,24.844,1.052
3,51075.366688,16.679,0.01
4,51075.367521,21.056,0.039
5,52170.384845,18.901,0.011
6,52170.385678,17.38,0.006
7,52170.386512,21.435,0.148
8,52170.387345,16.588,0.009
9,52170.388178,20.296,0.023
10,52196.383417,18.916,0.012
11,52196.384250,17.531,0.007
12,52196.385084,24.66,1.554
13,52196.385917,16.601,0.009
14,52196.386750,20.835,0.039
15,52207.350159,19.032,0.013
16,52207.350992,17.44,0.007
17,52207.351826,24.045,1.183
18,52207.352659,16.642,0.009
19,52207.353492,20.463,0.027
20,52224.278390,19.062,0.013
21,52224.279223,17.523,0.007
22,52224.280057,24.626,1.217
23,52224.280890,16.612,0.009
24,52224.281723,20.515,0.026
25,52225.227988,18.955,0.012
26,52225.228821,17.463,0.006
27,52225.229655,23.79,0.882
28,52225.230488,16.637,0.009
29,52225.231321,20.714,0.032
30,52231.263771,19.012,0.012
31,52231.264604,17.432,0.007
32,52231.265438,23.882,0.992
33,52231.266271,16.633,0.009
34,52231.267104,20.405,0.026
35,52234.234860,18.964,0.013
36,52234.235693,17.506,0.007
37,52234.236527,25.015,1.174
38,52234.237360,16.666,0.009
39,52234.238193,20.712,0.032
40,52261.198216,19.148,0.015
41,52261.199049,17.454,0.006
42,52261.199883,22.972,0.668
43,52261.200716,16.56,0.009
44,52261.201549,20.164,0.023
45,52282.124845,19.029,0.014
46,52282.125678,17.466,0.006
47,52282.126512,24.362,1.341
48,52282.127345,16.598,0.009
49,52282.128178,20.857,0.044
50,52287.078708,19.019,0.013
51,52287.079541,17.439,0.006
52,52287.080375,24.662,1.283
53,52287.081208,16.619,0.009
54,52287.082041,20.299,0.025
55,52552.397411,19.077,0.013
56,52552.398244,17.567,0.007
57,52552.399078,24.633,1.302
58,52552.399911,16.703,0.01
59,52552.400744,20.353,0.027
60,52557.371771,18.902,0.013
61,52557.372604,17.42,0.006
62,52557.373438,23.792,1.109
63,52557.374271,16.663,0.01
64,52557.375104,20.378,0.027
65,52908.346336,19.106,0.014
66,52908.347169,17.488,0.007
67,52908.348003,24.054,1.031
68,52908.348836,16.659,0.009
69,52908.349669,20.446,0.03
70,52912.325774,18.95,0.012
71,52912.326607,17.436,0.006
72,52912.327441,23.835,1.09
73,52912.328274,16.705,0.01
74,52912.329107,20.426,0.029
75,52934.278240,19.031,0.013
76,52934.279073,17.383,0.006
77,52934.279907,24.197,1.434
78,52934.280740,16.612,0.009
79,52934.281573,20.398,0.028
80,52936.274166,18.874,0.011
81,52936.274999,17.403,0.006
82,52936.275833,24.929,1.136
83,52936.276666,16.606,0.009
84,52936.277499,20.407,0.026
85,53270.338397,-99.0,0.274
86,53270.339230,-99.0,0.101
87,53270.340064,-99.0,99.999
88,53270.340897,-99.0,0.081
89,53270.341730,-99.0,1.065
90,53272.388168,19.035,0.015
91,53272.389001,17.542,0.006
92,53272.389835,21.971,0.33
93,53272.390668,16.571,0.009
94,53272.391501,21.256,0.05
95,53286.356886,18.987,0.013
96,53286.357719,17.401,0.006
97,53286.358553,24.738,1.706
98,53286.359386,16.603,0.008
99,53286.360219,20.131,0.024
100,53288.315378,18.96,0.012
101,53288.316211,17.431,0.006
102,53288.317045,23.652,0.875
103,53288.317878,16.628,0.009
104,53288.318711,20.335,0.022
105,53294.363052,19.903,0.029
106,53294.363885,-99.0,0.006
107,53294.364719,24.756,1.784
108,53294.365552,-99.0,0.01
109,53294.366385,-99.0,0.034
110,53296.310096,18.827,0.228
111,53296.310929,17.417,0.06
112,53296.311762,27.661,99.999
113,53296.312596,16.624,0.04
114,53296.313429,20.949,0.796
115,53298.359830,19.202,0.019
116,53298.360663,17.503,0.007
117,53298.361497,25.212,1.289
118,53298.362330,16.655,0.01
119,53298.363163,20.365,0.031
120,53302.311046,19.05,0.017
121,53302.311879,17.454,0.007
122,53302.312713,24.817,3.331
123,53302.313546,16.619,0.009
124,53302.314379,20.526,0.06
125,53312.266616,19.036,0.256
126,53312.267450,17.492,0.066
127,53312.268283,99.992,99.999
128,53312.269116,16.621,0.035
129,53312.269950,20.999,0.687
130,53314.267776,18.796,0.012
131,53314.268609,17.312,0.006
132,53314.269443,24.682,1.774
133,53314.270276,16.484,0.009
134,53314.271109,21.216,0.071
135,53319.255573,18.698,0.013
136,53319.256406,17.355,0.006
137,53319.257240,24.655,2.147
138,53319.258073,-99.0,0.01
139,53319.258906,20.103,0.028
140,53616.372133,18.895,0.014
141,53616.372966,17.327,0.006
142,53616.373800,24.713,1.667
143,53616.374633,16.735,0.011
144,53616.375466,20.515,0.038
145,53626.348559,19.086,0.017
146,53626.349392,17.398,0.006
147,53626.350226,24.23,1.496
148,53626.351059,16.627,0.009
149,53626.351892,20.657,0.044
150,53628.333424,18.802,0.015
151,53628.334257,17.389,0.006
152,53628.335091,24.597,3.146
153,53628.335924,16.581,0.009
154,53628.336757,20.26,0.052
155,53637.335043,18.717,0.014
156,53637.335876,17.328,0.006
157,53637.336710,23.508,1.752
158,53637.337543,16.535,0.01
159,53637.338376,20.004,0.036
160,53639.380420,18.928,0.012
161,53639.381253,17.417,0.006
162,53639.382087,24.673,1.541
163,53639.382920,16.652,0.009
164,53639.383753,20.291,0.027
165,53641.379586,18.996,0.013
166,53641.380419,17.434,0.006
167,53641.381253,23.553,0.905
168,53641.382086,16.629,0.009
169,53641.382919,20.261,0.025
170,53657.338470,19.419,0.041
171,53657.339303,17.707,0.01
172,53657.340137,24.045,4.581
173,53657.340970,16.612,0.012
174,53657.341803,20.613,0.112
175,53663.323017,18.951,0.015
176,53663.323850,17.535,0.007
177,53663.324684,24.098,2.767
178,53663.325517,16.629,0.009
179,53663.326350,20.415,0.053
180,53665.300987,18.847,0.114
181,53665.301820,-99.0,0.053
182,53665.302654,-99.0,2.668
183,53665.303487,-99.0,0.331
184,53665.304320,-99.0,2.838
185,53666.393111,18.944,0.014
186,53666.393944,17.468,0.007
187,53666.394778,24.522,3.204
188,53666.395611,16.621,0.009
189,53666.396444,20.373,0.044
190,53668.312617,18.915,0.015
191,53668.313450,17.519,0.007
192,53668.314284,22.507,0.645
193,53668.315117,16.833,0.011
194,53668.315950,20.454,0.039
195,53670.317470,19.034,0.014
196,53670.318303,17.433,0.006
197,53670.319137,24.662,1.775
198,53670.319970,16.83,0.011
199,53670.320803,20.404,0.028
200,53673.285456,19.079,0.014
201,53673.286289,17.482,0.006
202,53673.287123,24.647,1.274
203,53673.287956,16.641,0.009
204,53673.288789,20.344,0.027
205,53675.282343,18.969,0.013
206,53675.283176,17.478,0.007
207,53675.284010,23.191,0.636
208,53675.284843,16.621,0.009
209,53675.285676,20.274,0.025
210,53677.303374,19.143,0.015
211,53677.304207,17.492,0.006
212,53677.305041,24.35,1.228
213,53677.305874,16.661,0.009
214,53677.306707,20.439,0.026
215,53680.290041,18.997,0.013
216,53680.290874,17.429,0.006
