Unnamed: 0,mjd,mag,magerr
0,51075.360604,19.801,0.019
1,51075.361437,19.477,0.023
2,51075.362271,20.298,0.049
3,51075.363104,19.37,0.094
4,51075.363937,20.06,0.017
5,51819.415449,19.93,0.024
6,51819.416282,19.67,0.029
7,51819.417116,20.595,0.08
8,51819.417949,19.643,0.079
9,51819.418782,20.283,0.024
10,52196.379818,19.982,0.022
11,52196.380651,19.694,0.024
12,52196.381485,20.588,0.078
13,52196.382318,19.432,0.087
14,52196.383151,20.24,0.021
15,52197.374329,19.963,0.022
16,52197.375162,19.686,0.024
17,52197.375996,-99.0,0.07
18,52197.376829,19.591,0.091
19,52197.377662,20.231,0.021
20,52207.346591,19.975,0.021
21,52207.347424,19.647,0.021
22,52207.348258,20.55,0.072
23,52207.349091,19.743,0.096
24,52207.349924,20.286,0.02
25,52225.224407,19.944,0.02
26,52225.22524,19.661,0.022
27,52225.226074,20.815,0.075
28,52225.226907,19.661,0.088
29,52225.22774,20.232,0.019
30,52231.260189,20.01,0.021
31,52231.261022,19.704,0.022
32,52231.261856,20.569,0.066
33,52231.262689,19.519,0.076
34,52231.263522,20.293,0.02
35,52234.231278,19.97,0.021
36,52234.232111,19.655,0.021
37,52234.232945,20.605,0.072
38,52234.233778,19.521,0.074
39,52234.234611,20.24,0.019
40,52282.121263,19.941,0.024
41,52282.122096,19.631,0.025
42,52282.12293,20.652,0.084
43,52282.123763,19.458,0.092
44,52282.124596,20.166,0.021
45,52287.075127,19.927,0.025
46,52287.07596,19.657,0.024
47,52287.076794,20.721,0.081
48,52287.077627,19.463,0.084
49,52287.07846,20.24,0.02
50,52552.39383,19.889,0.02
51,52552.394663,19.602,0.02
52,52552.395497,20.47,0.066
53,52552.39633,19.38,0.08
54,52552.397163,20.138,0.019
55,52557.368188,19.914,0.025
56,52557.369021,19.622,0.028
57,52557.369855,20.481,0.081
58,52557.370688,19.613,0.106
59,52557.371521,20.126,0.02
60,52578.264274,19.907,0.02
61,52578.265107,19.606,0.021
62,52578.265941,20.58,0.062
63,52578.266774,19.463,0.075
64,52578.267607,20.135,0.017
65,52908.342754,19.803,0.018
66,52908.343587,19.567,0.021
67,52908.344421,-99.0,0.062
68,52908.345254,19.642,0.095
69,52908.346087,20.038,0.018
70,52912.322193,19.834,0.02
71,52912.323026,19.586,0.021
72,52912.32386,20.426,0.064
73,52912.324693,19.506,0.083
74,52912.325526,20.071,0.018
75,52934.274658,19.848,0.021
76,52934.275491,19.558,0.024
77,52934.276325,-99.0,0.074
78,52934.277158,19.486,0.097
79,52934.277991,20.068,0.019
80,52936.270584,19.905,0.02
81,52936.271417,19.6,0.021
82,52936.272251,20.61,0.069
83,52936.273084,19.485,0.078
84,52936.273917,20.115,0.017
85,53270.334666,19.678,0.021
86,53270.3355,19.441,0.019
87,53270.336333,20.688,0.405
88,53270.337166,-99.0,0.188
89,53270.338,-99.0,0.056
