plate,mjd,fiber,redshift,subclass,e_bv_sfd,h_beta_flux
294,51986,194,0.1701931,STARBURST BROADLINE,0.01859532,1226.009
294,51986,260,0.2078367,STARBURST BROADLINE,0.02180855,131.7802
294,51986,299,0.2346111,BROADLINE,0.02120849,66.01272
294,51986,528,0.2754462,STARBURST BROADLINE,0.02614111,556.1118
298,51955,103,0.2960864,BROADLINE,0.02666075,159.7934
298,51955,577,0.2455795,BROADLINE,0.02165855,159.3883
299,51671,133,0.2374521,STARBURST BROADLINE,0.0242223,1711.321
299,51671,580,0.2550515,STARBURST BROADLINE,0.03142718,72.71386
300,51943,206,0.2341849,BROADLINE,0.03098772,114.511
300,51943,272,0.2447907,BROADLINE,0.02539863,993.4495
301,51942,142,0.1631027,STARBURST BROADLINE,0.0398261,779.7177
301,51942,505,0.2567531,BROADLINE,0.03680439,209.2478
301,51942,545,0.2585477,STARBURST BROADLINE,0.03814382,312.2499
305,51613,550,0.2195398,BROADLINE,0.03112118,349.2582
308,51662,43,0.2524521,BROADLINE,0.04522255,174.6231
308,51662,523,0.2963802,STARBURST BROADLINE,0.05025406,117.7394
311,51665,26,0.2278282,BROADLINE,0.04959253,236.1087
312,51689,330,0.2171962,BROADLINE,0.04861303,479.4295
312,51689,639,0.2399111,STARBURST BROADLINE,0.06461944,307.7378
337,51997,30,0.2955231,BROADLINE,0.0214515,126.67
338,51694,579,0.2657186,BROADLINE,0.02021867,220.0962
339,51692,457,0.2500602,BROADLINE,0.01889216,65.61485
340,51990,174,0.1742078,BROADLINE,0.03094817,102.635
341,51690,600,0.2229706,STARBURST BROADLINE,0.03653443,485.5947
495,51988,207,0.2817113,BROADLINE,0.02384331,1639.537
495,51988,333,0.2736361,AGN BROADLINE,0.01620433,228.6028
495,51988,515,0.255159,BROADLINE,0.01334062,212.8707
497,51989,44,0.2987612,STARBURST BROADLINE,0.02559302,130.8399
497,51989,179,0.2404175,BROADLINE,0.02212023,268.8527
497,51989,437,0.1361378,BROADLINE,0.03132943,503.2493
497,51989,466,0.1277341,BROADLINE,0.03951375,2236.087
498,51984,105,0.2883833,BROADLINE,0.01403496,782.2548
499,51988,9,0.2143538,STARBURST BROADLINE,0.01796462,649.4446
499,51988,243,0.1605999,BROADLINE,0.01820124,490.5209
522,52024,28,0.239459,STARBURST BROADLINE,0.02517101,141.4467
522,52024,408,0.226549,BROADLINE,0.02624112,274.9844
524,52027,165,0.2284263,STARBURST BROADLINE,0.02421562,764.2011
524,52027,531,0.1853426,BROADLINE,0.02257127,384.5011
525,52295,329,0.2657584,BROADLINE,0.02942146,46.96118
526,52312,410,0.2089116,STARBURST BROADLINE,0.02649625,60.35434
