N,Identifier,Otype,ICRS (J2000) RA,ICRS (J2000) DEC,Redshift,Rad. vel.,cz,Mag B,Mag V,Mag R
27,ICRF J114722.1+350107,Sy2,11 47 22.1297825184,+35 01 07.538786184,0.06289,18262,18853.9,17.89,16.83,10.26
42,7C 155054.79+581551.00,QSO,15 51 58.2078070152,+58 06 44.454684204,1.325952,206254,397510.41,17.03,16.73,15.6
30,LEDA 139813,Sy2,12 23 43.3686897072,-42 35 32.031375288,0.0266,7868,7974,17.28,17.75,15.69
34,ICRF J134733.3+121724,Sy2,13 47 33.36161873,+12 17 24.2398927,0.121928,34339,36553.09,19.28,18.44,15.718
57,2MASX J20210438-2235183,Sy1,20 21 04.0639,-22 35 25.775,0.185,50404,55462,17.53,16.8,16.28
3,2MASS J01341690-4258262,Sy1,01 34 16.9072341600,-42 58 26.223391344,0.23713,62849,71091,18.17,17.3,16.71
52,ICRF J182931.7+484446,Sy1,18 29 31.7809732968,+48 44 46.160168892,0.69166326,144529,207355.4288,17.05,16.81,16.86
59,QSO B2134+0028,QSO,21 36 38.58632232,+00 41 54.2128562,1.94125,237665,581972.1,17.3,17.08,17.02
53,QSO B1946+708,BLL,19 45 53.51966298,+70 55 48.7285673,0.101,28757,30279.04,18.726,16.7,17.199
39,ICRF J145907.5+714019,Sy1,14 59 07.58390804,+71 40 19.8668093,0.90111275,169850,270146.8063,17.24,16.78,17.2
15,3C 186,QSO,07 44 17.4720658920,+37 53 17.250697320,1.06551,185940,319431.9,17.5,18.14,17.2
12,ICRF J054236.1+495107,Sy1,05 42 36.13789710,+49 51 07.2337139,0.55,123574,164886,18.45,17.8,17.21
63,ICRF J231635.1+040518,Sy2,23 16 35.1933566880,+04 05 18.297101076,0.22,58840,65954,17.54,16.68,17.22
60,2MASX J22502534+1419519,Sy1,22 50 25.3475290512,+14 19 52.095751140,0.23497,62347,70442.2,17.28,16.97,17.243
58,QSO B2126-15,Bla,21 29 12.17589329,-15 38 41.0419083,3.29102682,268907,986625.0197,17.61,17.3,17.3
31,2E 2879,Sy1,12 52 26.3561235816,+56 34 19.573734864,0.32007,81172,95954.6,18.42,18.11,17.66
43,ICRF J155658.8-791404,Sy2,15 56 58.86979525,-79 14 04.2817241,0.15033619,41715,45069.6559,18.8,18.8,17.84
56,ICRF J200755.1-443444,Sy1,20 07 55.1842447944,-44 34 44.274118260,0.24,63512,71950,19.3,19.3,18
23,ICRF J090933.4+425346,Sy2,09 09 33.49714902,+42 53 46.4821036,0.67002,141547,200866.9,19.98,19.42,18.22
5,7C 022118.10+273638.00,Sy1,02 24 12.2865158736,+27 50 11.538285648,0.310101,79062,92965.94,19.502,18,18.263
10,ICRF J052109.8+163822,Sy1,05 21 09.88596258,+16 38 22.0515459,0.76,153467,227842,19.37,18.84,18.48
22,3C 213.1,AGN,09 01 05.2614565176,+29 01 46.939089828,0.19405,52618,58174.7,18.84,18.08,18.6
17,3C 190,QSO,08 01 33.5525166480,+14 14 42.813906612,0.24639,64982,73865.9,21.07,20.26,18.972
62,3C 455.0,Sy2,22 55 03.8,+13 13 34,0.542999,122445,162787,19.535,19.59,19.19
29,3C 268.3,Sy1,12 06 24.70656,+64 13 36.8760,0.37116,91609,111271,21.847,20.79,19.91
64,ICRF J234403.7+822640,Sy2,23 44 03.8302221504,+82 26 40.345410408,0.735,150278,220347.46,21.769,20.5,20.22
