#Table1
sdss_ra,sdss_dec,wise_ra,wise_dec,r,w1,oiii_5007_flux,h_alpha_flux,h_beta_flux,nii_6584_flux,H_FWHM,forbidden_FWHM,class,subclass,w1mpro,w2mpro,w3mpro,wise_cntr,sdss_objid,specobjid
146.628757116231,34.916838331201,146.6288326,34.9171401,16.37781,11.94,173.5253,4204.322,1019.062,3133.535,363.1869,321.2094,GALAXY,STARBURST,11.94,11.605,7.006,1461134801241017517,1237661382235783225,1794693572675528704
153.202376162246,43.1455394450113,153.2023926,43.1455733,15.16157,10.633,141.2283,276.3123,88.41828,321.8531,134.496,185.7727,GALAXY,BROADLINE,10.633,10.678,9.623,1537142401241035207,1237660635994259485,1371479997524502528
143.176248658763,2.53357715983452,143.1762625,2.5336409,17.05236,12.691,47.88549,1360.418,382.542,860.1495,312.2296,275.6941,GALAXY,STARFORMING,12.691,12.462,8.452,1436103001241006144,1237654599949746289,640704979820111872
180.32953398814,56.5701687692684,180.3296221,56.5702396,16.45819,11.699,71.68056,116.4147,22.47028,153.5428,343.6474,380.6946,GALAXY,BROADLINE,11.699,11.701,9.386,1813156001241039765,1237657610729357488,1479510319209408512
174.728890107212,3.58087769915508,174.7288974,3.5809223,16.37154,11.642,107.5646,3212.755,702.7158,1216.78,134.3801,144.9825,GALAXY,STARFORMING,11.642,11.592,7.988,1754103001241033794,1237654031403712563,577752436958062592
233.50953859814,56.6857027602416,233.5097465,56.6857405,15.68744,9.865,115.3325,316.2162,103.4394,320.0678,440.0962,367.9833,GALAXY,BROADLINE,9.865,9.871,8.502,2346156001241045784,1237651537649139745,3246144879448844288
177.266807205466,59.4326791929245,177.2673556,59.4326626,15.4925,10.795,81.87686,146.8615,50.96485,177.0596,200.311,263.1385,GALAXY,,10.795,10.878,9.793,1785159001241024742,1237655107839393797,3243737773231859712
250.846387019223,39.8064460701231,250.8464499,39.8064659,16.02935,11.014,286.3273,646.5287,154.8157,610.662,321.6522,354.6476,GALAXY,AGN,11.014,10.861,7.989,2516139301241027616,1237655474505777308,709400813465790464
225.40128854034,16.7297049885541,225.4012973,16.7297259,15.90414,12.131,13156.49,16343.5,4300.242,2859.94,190.427,176.5034,GALAXY,STARBURST,12.131,11.706,7.542,2248116601241017788,1237667781777817677,3128947660417951744
254.940645549113,28.2626325483301,254.9406983,28.262737,17.67718,11.582,36.31393,926.6036,185.3663,321.5735,194.5404,208.4645,GALAXY,STARFORMING,11.582,11.444,7.385,2554128701241005577,1237661387085316122,3185236334960732160
210.279667249187,21.2429310943663,210.2796868,21.2429395,17.28278,14.028,10957.91,8754.15,2728.549,574.0336,134.1866,124.0966,GALAXY,STARBURST,14.028,13.689,9.639,2098121201241018735,1237667736129765392,3118903071439087616
207.411601094593,4.23828707813766,207.4116582,4.2383072,16.18002,10.677,104.0478,184.8659,94.25947,258.0076,415.4986,348.4036,GALAXY,BROADLINE,10.677,10.778,9.764,2081104501241008792,1237655125019263012,961528730738518016
238.512013726867,23.1311924572516,238.512036,23.1312094,15.95248,10.596,517.3818,2763.628,656.2391,1363.364,237.2005,250.5582,GALAXY,STARFORMING,10.596,10.578,8.034,2378122701241032720,1237662695963820164,2444442556885395456
114.603036687431,33.1511104052468,114.6030222,33.1511856,17.66081,13.553,241.8594,790.5424,242.2523,203.454,106.7762,110.953,GALAXY,STARFORMING,13.553,13.457,10.452,1151133301241008423,1237653587940868148,609240250450995200
172.514871924183,57.3081882513039,172.5149348,57.3082192,15.98281,12.154,1149.665,2975.852,710.8599,2133.057,261.0057,337.8338,GALAXY,STARFORMING,12.154,11.987,8.307,1716157501241013182,1237661353778085919,1473938539203815424
163.114557163869,8.09404146816274,163.1146057,8.0941158,15.72455,11.02,287.9846,7176.116,1364.025,3233.772,286.39,284.7886,GALAXY,STARBURST,11.02,10.838,6.748,1632107501241031258,1237658425165807733,1127181707317897216
150.830198723112,68.7345739432686,150.8299121,68.7336429,16.895,9.699,3969.851,20359.51,5687.946,4030.301,85.55611,90.96766,GALAXY,STARBURST,9.699,9.312,5.016,1503168101241034218,1237663916812468282,2115598985434523648
193.76189994826,8.06554959015089,193.7619665,8.0655946,15.04335,10.107,217.096,459.7046,175.6439,239.7997,455.2616,410.2826,GALAXY,,10.107,10.17,9.609,1937107501241032023,1237661976550965308,2017753717066983424
157.778200301434,28.7966604404549,157.7782421,28.7966753,15.32034,10.636,1052.956,12125.8,2926.318,4845.217,147.236,144.2146,GALAXY,STARBURST,10.636,10.491,6.429,1577128701241017921,1237667287812735027,2650401704670947328
117.239517806954,17.5771094919361,117.2395088,17.5771426,16.21692,11.597,291.9623,690.3578,163.2982,854.5138,471.6476,453.0394,GALAXY,AGN BROADLINE,11.597,11.599,10.261,1173118101241003332,1237674370750939318,2161793022801504256
166.374296711836,3.65997371640394,166.3753506,3.6596602,16.40541,14.397,463.7224,1212.021,359.2458,434.6016,153.9799,159.5289,GALAXY,STARFORMING,14.397,14.213,11.355,1663103001241030813,1237654599959904381,654214405856192512
134.43958380742,17.0463582062176,134.4395864,17.0464202,17.19017,12.511,132.2305,3126.749,647.1654,1385.129,144.7976,146.4922,GALAXY,STARBURST,12.511,12.358,8.163,1351116601241021347,1237667291576598552,2738292270393485312
191.730868832162,26.56427481953,191.7308775,26.5643376,16.61705,12.308,7762.544,9702.91,2775.854,1268.215,110.3776,109.7548,GALAXY,STARBURST,12.308,11.688,7.283,1909127201241000008,1237667322185908256,2519789075951544320
191.321909235629,27.1255884954914,191.3212483,27.1254439,15.68578,11.013,12019.25,10814.36,3700.566,682.8312,103.2427,83.79675,GALAXY,STARBURST,11.013,10.832,7.236,1909127201241017632,1237667322722582561,2519825084957353984
139.579162364522,33.5569611751742,139.5791997,33.5570063,16.88121,11.958,35.53726,71.53404,25.52647,81.15689,168.8108,235.035,GALAXY,BROADLINE,11.958,12.02,10.602,1403133301241022857,1237664870285967397,1792534681560836096
213.713979046516,3.13091053341165,213.7139928,3.1309184,15.49184,10.623,370.8294,805.1729,185.4991,1017.009,443.9782,423.0877,GALAXY,AGN BROADLINE,10.623,10.584,8.646,2132103001241018874,1237651821097779392,600252293236942848
210.316819013561,54.4187364539931,210.3168862,54.4187521,15.93609,11.263,114.5978,92.60556,23.47178,48.79398,2.35482,76.2177,GALAXY,BROADLINE,11.263,11.374,10.735,2093154501241016935,1237661417138094141,1490767119892113408
241.741455071871,10.7511680273407,241.7414577,10.7511674,16.93042,12.327,349.6696,1090.838,301.9255,310.3551,160.1492,171.6524,GALAXY,STARFORMING,12.327,12.358,10.345,2415110601241019164,1237668271378595884,2844133467598383104
208.869757792685,6.59644544042703,208.8698447,6.5965544,16.5428,12.102,1246.71,5743.216,1490.277,1624.921,146.8512,146.0397,GALAXY,STARBURST,12.102,11.894,7.672,2096106001241040518,1237661971195953162,2032266989048719360
210.169017263883,-1.92174470305953,210.1690753,-1.9216962,16.57367,12.18,7239.438,5800.638,1495.548,2597.058,192.1163,224.8397,GALAXY,AGN,12.18,11.515,7.706,2102001601241011333,1237655499204132923,1030318577393100800
135.867744627345,51.983500357486,135.8678648,51.9835379,17.20497,11.824,70.0569,923.4749,236.4291,402.5594,186.5877,194.2896,GALAXY,STARFORMING,11.824,11.737,7.972,1358151401241037452,1237653613720436829,621633396317120512
164.942829196915,33.3918324423108,164.9428868,33.3921301,16.67566,11.694,1355.455,2749.054,811.5004,568.36,124.4388,123.5141,GALAXY,STARFORMING,11.694,11.579,7.919,1655133301241021061,1237665128536670228,2232682113004496896
120.49371369572,15.0587514245827,120.4937612,15.0587746,17.21564,12.287,32.74794,276.1074,66.30264,184.4022,127.5563,176.8046,GALAXY,STARFORMING,12.287,12.319,9.176,1205115101241019693,1237667107960717451,2551430812750866432
177.013982200691,30.3593283718104,177.0141219,30.3593753,16.57347,10.501,103.2692,260.2286,71.25346,366.5516,247.1537,304.2258,GALAXY,BROADLINE,10.501,10.448,7.194,1773130201241018880,1237667212137005114,2501900289833986048
181.180488079665,31.1772930933234,181.1805347,31.1773066,15.7947,10.417,9336.208,4811.205,1166.072,4796.921,250.432,307.5389,GALAXY,AGN,10.417,9.718,6.184,1817131801241006188,1237667255624990807,2508596865721722880
131.668856486444,2.4080216924599,131.6691207,2.4089952,16.91408,14.369,726.2908,1695.587,501.8161,347.2574,93.73042,94.29429,GALAXY,STARFORMING,14.369,14.34,11.5,1315103001241003433,1237654604776407177,635034797684582400
136.404908802121,41.0922822828257,136.4049149,41.0923183,16.3766,11.575,77.6571,293.4192,60.9954,296.3216,272.3372,298.3238,GALAXY,BROADLINE,11.575,11.561,8.932,1364140801241026918,1237657775543550036,1351143154891384832
138.643051466414,30.1408534758631,138.6429602,30.1409074,15.96035,10.248,124.6991,854.4304,148.1255,658.5085,424.8452,419.8504,GALAXY,AGN BROADLINE,10.248,10.161,7.412,1391130201241019876,1237664093439983708,2179902529335224320
50.3661499660058,40.8722375533118,50.3662761,40.8724416,17.45544,12.672,110.6979,2933.444,658.7897,1293.396,221.4684,219.7837,GALAXY,STARBURST,12.672,12.444,8.344,494140801241018477,1237661083199537291,1875771560090953728
203.272253022371,-1.03578293831665,203.2722741,-1.0357756,15.11659,10.179,278.6271,859.0906,203.4313,1349.898,290.9462,371.6021,GALAXY,AGN BROADLINE,10.179,10.193,8.266,2026001601241033938,1237648720167174259,335574280131602432
145.46231638295,12.1837588258572,145.4623401,12.1837551,16.60224,12.456,360.2298,4102.184,1132.099,1350.743,130.7572,131.0379,GALAXY,STARBURST,12.456,12.306,8.279,1452112101241011667,1237661070320140305,1961444682533726208
167.232405019707,0.444815949892854,167.2317883,0.444831,16.2026,12.887,6074.062,10285.94,3250.791,1743.394,141.2563,135.0778,GALAXY,STARBURST,12.887,12.72,8.846,1678100001241021697,1237674650996834435,313129123717343232
203.177271525453,7.32726143309873,203.177311,7.327307,16.30117,10.773,169.8599,709.0253,179.9334,602.337,432.296,450.5002,GALAXY,AGN BROADLINE,10.773,10.823,9.236,2028107501241012092,1237661971730333720,2027865373839222784
159.655157654994,44.5231050544411,159.6551369,44.5231523,16.37924,12.392,8673.417,12234.37,3394.213,1269.856,126.5525,122.8071,GALAXY,STARBURST,12.392,12.203,8.215,1602143901241035523,1237660635459485715,1611210370767153152
164.792380633799,67.0377929487188,164.7925103,67.0375864,16.74602,12.701,58.78199,156.3383,49.96962,99.56056,475.2635,414.3015,GALAXY,BROADLINE,12.701,12.737,12.068,1632166601241032770,1237651539782598801,551806160559171584
237.445614122509,12.399313513103,237.445601,12.3993059,15.55268,10.817,2325.545,4913.315,1094.148,3903.085,177.7739,249.282,GALAXY,AGN,10.817,10.57,6.905,2379112101241025789,1237668271913500695,2836179600281724928
140.827889263489,1.58310237665606,140.8279326,1.5831915,16.65739,12.175,48.20422,109.5187,42.46762,117.0291,260.1681,286.3371,GALAXY,BROADLINE,12.175,12.211,10.506,1406101501241018108,1237651753456304348,532572678532392960
135.998839065241,21.9065770568645,135.9989398,21.9066112,15.68775,10.823,462.0355,350.5398,114.9231,386.3233,199.4208,216.2505,GALAXY,BROADLINE,10.823,10.898,10.335,1356121201241030208,1237667111720058969,2571600804293142528
240.148993019689,15.6856325980828,240.1491264,15.6856243,16.79653,12.146,76.10181,1722.139,383.0296,729.2296,190.5791,210.2635,GALAXY,STARFORMING,12.146,12.032,8.179,2394115101241033527,1237665567154831489,2838562516320151552
192.616970867136,27.4348901094185,192.6169966,27.4349167,16.2107,11.366,43.11588,268.8489,68.57541,175.2826,335.9868,390.6479,GALAXY,BROADLINE,11.366,11.424,9.928,1926127201241026644,1237667323259977790,2519924865637574656
233.801993716338,5.06300320891746,233.8020451,5.0630308,16.26851,11.565,53.40701,125.3575,26.0278,159.3333,244.077,282.2112,GALAXY,,11.565,11.569,8.788,2339104501241035950,1237655744022708328,2067246588706711552
13.1405551524842,0.33122972071443,13.1405095,0.3313384,18.56274,14.488,2082.449,2816.121,781.5953,320.8546,128.8607,128.6007,GALAXY,STARBURST,14.488,14.149,10.2,136100001241018644,1237657191447855124,443740110198958080
14.0249566724762,0.628637444365127,14.0249503,0.6286253,16.59973,12.168,54.77234,73.46342,20.45427,90.33938,311.7555,352.054,GALAXY,BROADLINE,12.168,12.141,10.471,136100001241026183,1237663277933920303,443765948722210816
148.13669859461,15.8268555384562,148.1367986,15.8268645,16.74934,11.622,39.23356,76.60703,22.68861,81.91714,187.9832,233.2915,GALAXY,BROADLINE,11.622,11.655,9.091,1486115101241034348,1237670964852097155,2908249006100473856
